nr_crt,sucursala,departament,denumire_persoana_juridica,adresa_imobil,constructie_mp,teren_mp,tip_contract,modalitate_atribuire,data_inceput,data_incetare,pret_ron,pret_eur
256,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DEP.ROMANII DE PRETUTINDENI,"ZAMBACCIAN, NR.17",530.38,,Închiriere și prestări servicii,Atribuire directă,30-Apr-2026,31-Dec-2026,52023.15,
257,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA PENTRU MONITORIZAREA SI EVALUAREA PERFORMANTELOR INTERPRINDERILOR PUBLICE,STR. GRAL.FLORESCU 1,916.84,,Închiriere și prestări servicii,Atribuire directă,19-May-2026,30-Jun-2026,64039.83,
258,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. THE PUB CENTRAL S.R.L.,"STR.FABRICA DE GLUCOZA, NR.3A",28.80,,Închiriere și prestări servicii,Licitație publică,13-Nov-2024,15-Jun-2029,189.93,245.66
259,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. THE PUB CENTRAL S.R.L.,"STR.FABRICA DE GLUCOZA, NR.3A",6.37,,Închiriere,Licitație publică,25-Feb-2026,24-Feb-2027,,50.00
260,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ACADEMIA DE STIINTE MEDICALE,"STR.OLARI, NR.23",326.87,,Închiriere și prestări servicii,Atribuire directă,28-May-2026,30-Sep-2026,12050.03,
261,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC APEX ALLIANCE DEVELOPEMENT 3 SRL,"STR. DOAMNEI NR. 17-19, SECTOR 3, Bucuresti, Teren sub constructie",0.00,932.00,folosinta gratuita,Atribuire directă,16-Jul-1993,nedeterminat,,
262,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,H&S WEST PROPERTIES SRL,"Calea Victoriei, nr. 109 - teren sub constructie aferent imobil vandut",,1243.00,folosinta gratuita,Atribuire directă,28-Oct-1993,nedeterminat,,
263,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,EDITURA MAXIM CONCEPT,P-TA PRESEI LIBERE NR.1 - Parcare auto,,3 locuri parcare,Închiriere,Licitație publică,20-Jan-2022,30-Jan-2027,,240.00
264,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. LIBRARIILE HUMANITAS S.A.,P-TA PRESEI LIBERE NR.1 - Parcare auto,,2 locuri parcare,Închiriere,Licitație publică,10-Feb-2022,9-Feb-2027,,144.00
265,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. HUMANITAS S.A.,P-TA PRESEI LIBERE NR.1 - Parcare auto,,3 locuri parcare,Închiriere,Licitație publică,10-Feb-2022,9-Feb-2027,,216.00
266,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. HUMANITAS FICTION S.R.L.,P-TA PRESEI LIBERE NR.1 - Parcare auto,,2 locuri parcare,Închiriere,Licitație publică,10-Feb-2022,9-Feb-2027,,144.00
267,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S-PARK,P-TA PRESEI LIBERE NR.1 - Parcare auto,,167 locuri parcare,Închiriere,Licitație publică,12-Jul-2024,11-Jul-2029,,13694.00
268,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONSILIUL CONCURENTEI,P-TA PRESEI LIBERE NR.1 - Parcare auto,,4 locuri parcare,Închiriere,Atribuire directă,22-May-2014,13-Jun-2026,1062.40,
269,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ANAF,P-TA PRESEI LIBERE NR.1 - Parcare auto,,20 locuri parcare,Închiriere,Atribuire directă,25-Feb-2014,31-Dec-2026,21725.60,
270,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BULROM IMPEX GAS SRL,P-TA PRESEI LIBERE NR.1 - Parcare auto,,20 locuri parcare,Închiriere,Licitație publică,5-Jun-2025,4-Jun-2027,,1500.00
271,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ANAF,P-TA PRESEI LIBERE NR.1 - Parcare auto,,110 locuri parcare,Închiriere,Atribuire directă,26-Feb-2014,31-Dec-2026,21725.60,
